metal,Z,WF111,vsquaredREL,dbandcenter,dbandfilling,dbandupperedge,WF110
PtCu3Pt,78,,3.9,-2.55,0.95,,
CuCu3Pt,29,,1.0,-2.35,0.95,,
NiNiAl,28,,1.34,-1.91,0.9,,
Ag,47,4.46,2.26,-4.3,1.0,-2.82,
Au,79,5.29,3.35,-3.56,1.0,-1.7,
Cu,29,4.94,1.0,-2.67,1.0,-1.44,
Fe,26,,1.59,-0.92,0.7,0.21,5.07
Co,27,,1.34,-1.17,0.8,,
Ni,28,5.24,1.34,-1.29,0.9,-0.36,
Ir,77,5.7,4.45,-2.11,0.8,1.41,
Pd,46,5.67,2.78,-1.83,0.9,0.11,
Pt,78,6.1,3.9,-2.25,0.9,0.55,
Rh,45,5.46,3.32,-1.73,0.8,0.94,
W,74,,7.27,0.77,0.5,3.5,5.44
Re,75,,6.04,-0.51,0.6,,
Ru,44,,3.87,-1.41,0.7,,
Os,76,,5.13,-1.41,0.7,,
Zn,30,,0.46,-5.1,1.0,,
Al,13,,,5.0,0.0,,
