energy	energy	energy
-5335.203964967917	-5338.725924400467	-5338.306891861207
-12026.271510051669	-12029.76938171463	-12029.65742839793
-2722.4702531533567	-2726.375186492283	-2725.827707103965
-11715.06884633873	-11719.153608902683	-11719.375159888878
-2711.6401752825504	-2715.9229073814854	-2715.4457722507027
-5192.533898640972	-5196.79571073274	-5196.408089967743
-11873.826826863784	-11878.026509676238	-11878.124863506679
-5136.349790085061	-5140.514839933058	-5140.353490430392
-2507.9914301997087	-2512.3455672940527	-2511.694604871645
-11052.764568858796	-11057.452162293963	-11056.673470471018
